Red,Green,Blue,Main Color
0,100,180,Blue
0,100,190,Blue
0,100,200,Blue
0,100,210,Blue
0,100,220,Blue
0,100,230,Blue
0,100,240,Blue
0,100,250,Blue
0,110,0,Black
0,110,10,Black
0,110,20,Black
0,110,30,Black
0,110,40,Black
0,110,50,Black
0,110,60,Black
0,110,70,Black
0,110,80,Black
0,110,90,Black
0,110,100,Black
0,110,110,Black
0,110,120,Black
0,110,130,Blue
0,110,140,Blue
0,110,150,Blue
0,110,160,Blue
0,110,170,Blue
0,110,180,Blue
0,110,190,Blue
0,110,200,Blue
0,110,210,Blue
0,110,220,Blue
0,110,230,Blue
0,110,240,Blue
0,110,250,Blue
0,120,0,Black
0,120,10,Black
0,120,20,Black
0,120,30,Black
0,120,40,Black
0,120,50,Black
0,120,60,Black
0,120,70,Black
0,120,80,Black
0,120,90,Black
0,120,100,Black
0,120,110,Black
0,120,120,Black
0,120,130,Blue
0,120,140,Blue
0,120,150,Blue
0,120,160,Blue
0,120,170,Blue
0,120,180,Blue
0,120,190,Blue
0,120,200,Blue
0,120,210,Blue
0,120,220,Blue
0,120,230,Blue
0,120,240,Blue
0,120,250,Blue
0,130,0,Green
0,130,10,Green
0,130,20,Green
0,130,30,Green
0,130,40,Green
0,130,50,Green
0,130,60,Green
0,130,70,Green
0,130,80,Green
0,130,90,Green
0,130,100,Green
0,130,110,Green
0,130,120,Green
0,130,130,Blue
0,130,140,Blue
0,130,150,Blue
0,130,160,Blue
0,130,170,Blue
0,130,180,Blue
0,130,190,Blue
0,130,200,Blue
0,130,210,Blue
0,130,220,Blue
0,130,230,Blue
0,130,240,Blue
0,130,250,Blue
0,140,0,Green
0,140,10,Green
0,140,20,Green
0,140,30,Green
0,140,40,Green
0,140,50,Green
0,140,60,Green
0,140,70,Green
0,140,80,Green
0,140,90,Green
0,140,100,Green
0,140,110,Green
0,140,120,Green
0,140,130,Green
0,140,140,Blue
0,140,150,Blue
0,140,160,Blue
0,140,170,Blue
0,140,180,Blue
0,140,190,Blue
0,140,200,Blue
0,140,210,Blue
0,140,220,Blue
0,140,230,Blue
0,140,240,Blue
0,140,250,Blue
0,150,0,Green
0,150,10,Green
0,150,20,Green
0,150,30,Green
0,150,40,Green
0,150,50,Green
0,150,60,Green
0,150,70,Green
0,150,80,Green
0,150,90,Green
0,150,100,Green
0,150,110,Green
0,150,120,Green
0,150,130,Green
0,150,140,Green
0,150,150,Blue
0,150,160,Blue
0,150,170,Blue
0,150,180,Blue
0,150,190,Blue
0,150,200,Blue
0,150,210,Blue
0,150,220,Blue
0,150,230,Blue
0,150,240,Blue
0,150,250,Blue
0,160,0,Green
0,160,10,Green
0,160,20,Green
0,160,30,Green
0,160,40,Green
0,160,50,Green
0,160,60,Green
0,160,70,Green
0,160,80,Green
0,160,90,Green
0,160,100,Green
0,160,110,Green
0,160,120,Green
0,160,130,Green
0,160,140,Green
0,160,150,Green
0,160,160,Blue
0,160,170,Blue
0,160,180,Blue
0,160,190,Blue
0,160,200,Blue
0,160,210,Blue
0,160,220,Blue
0,160,230,Blue
0,160,240,Blue
0,160,250,Blue
0,170,0,Green
0,170,10,Green
0,170,20,Green
0,170,30,Green
0,170,40,Green
0,170,50,Green
0,170,60,Green
0,170,70,Green
0,170,80,Green
0,170,90,Green
0,170,100,Green
0,170,110,Green
0,170,120,Green
0,170,130,Green
0,170,140,Green
0,170,150,Green
0,170,160,Green
0,170,170,Blue
0,170,180,Blue
0,170,190,Blue
0,170,200,Blue
0,170,210,Blue
0,170,220,Blue
0,170,230,Blue
0,170,240,Blue
0,170,250,Blue
0,180,0,Green
0,180,10,Green
0,180,20,Green
0,180,30,Green
0,180,40,Green
0,180,50,Green
0,180,60,Green
0,180,70,Green
0,180,80,Green
0,180,90,Green
0,180,100,Green
0,180,110,Green
0,180,120,Green
0,180,130,Green
0,180,140,Green
0,180,150,Green
0,180,160,Green
0,180,170,Green
0,180,180,Blue
0,180,190,Blue
0,180,200,Blue
0,180,210,Blue
0,180,220,Blue
0,180,230,Blue
0,180,240,Blue
0,180,250,Blue
0,190,0,Green
0,190,10,Green
0,190,20,Green
0,190,30,Green
0,190,40,Green
0,190,50,Green
0,190,60,Green
0,190,70,Green
0,190,80,Green
0,190,90,Green
0,190,100,Green
0,190,110,Green
0,190,120,Green
0,190,130,Green
0,190,140,Green
0,190,150,Green
0,190,160,Green
0,190,170,Green
0,190,180,Green
0,190,190,Blue
0,190,200,Blue
0,190,210,Blue
0,190,220,Blue
0,190,230,Blue
0,190,240,Blue
0,190,250,Blue
0,200,0,Green
0,200,10,Green
0,200,20,Green
0,200,30,Green
0,200,40,Green
0,200,50,Green
0,200,60,Green
0,200,70,Green
0,200,80,Green
0,200,90,Green
0,200,100,Green
0,200,110,Green
0,200,120,Green
0,200,130,Green
0,200,140,Green
0,200,150,Green
0,200,160,Green
0,200,170,Green
0,200,180,Green
0,200,190,Green
0,200,200,Blue
0,200,210,Blue
0,200,220,Blue
0,200,230,Blue
0,200,240,Blue
0,200,250,Blue
0,210,0,Green
0,210,10,Green
0,210,20,Green
0,210,30,Green
0,210,40,Green
0,210,50,Green
0,210,60,Green
0,210,70,Green
0,210,80,Green
0,210,90,Green
0,210,100,Green
0,210,110,Green
0,210,120,Green
0,210,130,Green
0,210,140,Green
0,210,150,Green
0,210,160,Green
0,210,170,Green
0,210,180,Green
0,210,190,Green
0,210,200,Green
0,210,210,Blue
0,210,220,Blue
0,210,230,Blue
0,210,240,Blue
0,210,250,Blue
0,220,0,Green
0,220,10,Green
0,220,20,Green
0,220,30,Green
0,220,40,Green
0,220,50,Green
0,220,60,Green
0,220,70,Green
0,220,80,Green
0,220,90,Green
0,220,100,Green
0,220,110,Green
0,220,120,Green
0,220,130,Green
0,220,140,Green
0,220,150,Green
0,220,160,Green
0,220,170,Green
0,220,180,Green
0,220,190,Green
0,220,200,Green
0,220,210,Green
0,220,220,Blue
0,220,230,Blue
0,220,240,Blue
0,220,250,Blue
0,230,0,Green
0,230,10,Green
0,230,20,Green
0,230,30,Green
0,230,40,Green
0,230,50,Green
0,230,60,Green
0,230,70,Green
0,230,80,Green
0,230,90,Green
0,230,100,Green
0,230,110,Green
0,230,120,Green
0,230,130,Green
0,230,140,Green
0,230,150,Green
0,230,160,Green
0,230,170,Green
0,230,180,Green
0,230,190,Green
0,230,200,Green
0,230,210,Green
0,230,220,Green
0,230,230,Blue
0,230,240,Blue
0,230,250,Blue
0,240,0,Green
0,240,10,Green
0,240,20,Green
0,240,30,Green
0,240,40,Green
0,240,50,Green
0,240,60,Green
0,240,70,Green
0,240,80,Green
0,240,90,Green
0,240,100,Green
0,240,110,Green
0,240,120,Green
0,240,130,Green
0,240,140,Green
0,240,150,Green
0,240,160,Green
0,240,170,Green
0,240,180,Green
0,240,190,Green
0,240,200,Green
0,240,210,Green
0,240,220,Green
0,240,230,Green
0,240,240,Blue
0,240,250,Blue
0,250,0,Green
0,250,10,Green
0,250,20,Green
0,250,30,Green
0,250,40,Green
0,250,50,Green
0,250,60,Green
0,250,70,Green
0,250,80,Green
0,250,90,Green
0,250,100,Green
0,250,110,Green
0,250,120,Green
0,250,130,Green
0,250,140,Green
0,250,150,Green
0,250,160,Green
0,250,170,Green
0,250,180,Green
0,250,190,Green
0,250,200,Green
0,250,210,Green
0,250,220,Green
0,250,230,Green
0,250,240,Green
0,250,250,Blue
10,0,0,Black
10,0,10,Black
10,0,20,Black
10,0,30,Black
10,0,40,Black
10,0,50,Black
10,0,60,Black
10,0,70,Black
10,0,80,Black
10,0,90,Black
10,0,100,Black
10,0,110,Black
10,0,120,Purple
10,0,130,Purple
10,0,140,Blue
10,0,150,Blue
10,0,160,Blue
10,0,170,Blue
10,0,180,Blue
10,0,190,Blue
10,0,200,Blue
10,0,210,Blue
10,0,220,Blue
10,0,230,Blue
10,0,240,Blue
10,0,250,Blue
10,10,0,Black
10,10,10,Black
10,10,20,Black
10,10,30,Black
10,10,40,Black
10,10,50,Black
10,10,60,Black
10,10,70,Black
10,10,80,Black
10,10,90,Black
10,10,100,Black
10,10,110,Black
10,10,120,Purple
10,10,130,Purple
10,10,140,Blue
10,10,150,Blue
10,10,160,Blue
10,10,170,Blue
10,10,180,Blue
10,10,190,Blue
10,10,200,Blue
10,10,210,Blue
10,10,220,Blue
10,10,230,Blue
10,10,240,Blue
10,10,250,Blue
10,20,0,Black
10,20,10,Black
10,20,20,Black
10,20,30,Black
10,20,40,Black
10,20,50,Black
10,20,60,Black
10,20,70,Black
10,20,80,Black
10,20,90,Black
10,20,100,Black
10,20,110,Black
10,20,120,Purple
10,20,130,Purple
10,20,140,Blue
10,20,150,Blue
10,20,160,Blue
10,20,170,Blue
10,20,180,Blue
10,20,190,Blue
10,20,200,Blue
10,20,210,Blue
10,20,220,Blue
10,20,230,Blue
10,20,240,Blue
10,20,250,Blue
10,30,0,Black
10,30,10,Black
10,30,20,Black
10,30,30,Black
10,30,40,Black
10,30,50,Black
10,30,60,Black
10,30,70,Black
10,30,80,Black
10,30,90,Black
10,30,100,Black
10,30,110,Black
10,30,120,Purple
10,30,130,Purple
10,30,140,Blue
10,30,150,Blue
10,30,160,Blue
10,30,170,Blue
10,30,180,Blue
10,30,190,Blue
10,30,200,Blue
10,30,210,Blue
10,30,220,Blue
10,30,230,Blue
10,30,240,Blue
10,30,250,Blue
10,40,0,Black
10,40,10,Black
10,40,20,Black
10,40,30,Black
10,40,40,Black
10,40,50,Black
10,40,60,Black
10,40,70,Black
10,40,80,Black
10,40,90,Black
10,40,100,Black
10,40,110,Black
10,40,120,Purple
10,40,130,Purple
10,40,140,Blue
10,40,150,Blue
10,40,160,Blue
10,40,170,Blue
10,40,180,Blue
10,40,190,Blue
10,40,200,Blue
10,40,210,Blue
10,40,220,Blue
10,40,230,Blue
10,40,240,Blue
10,40,250,Blue
10,50,0,Black
10,50,10,Black
10,50,20,Black
10,50,30,Black
10,50,40,Black
10,50,50,Black
10,50,60,Black
10,50,70,Black
10,50,80,Black
10,50,90,Black
10,50,100,Black
10,50,110,Black
10,50,120,Purple
10,50,130,Purple
10,50,140,Blue
10,50,150,Blue
10,50,160,Blue
10,50,170,Blue
10,50,180,Blue
10,50,190,Blue
10,50,200,Blue
10,50,210,Blue
10,50,220,Blue
10,50,230,Blue
10,50,240,Blue
10,50,250,Blue
10,60,0,Black
10,60,10,Black
10,60,20,Black
10,60,30,Black
10,60,40,Black
10,60,50,Black
10,60,60,Black
10,60,70,Black
10,60,80,Black
10,60,90,Black
10,60,100,Black
10,60,110,Black
10,60,120,Purple
10,60,130,Purple
10,60,140,Blue
10,60,150,Blue
10,60,160,Blue
10,60,170,Blue
10,60,180,Blue
10,60,190,Blue
10,60,200,Blue
10,60,210,Blue
10,60,220,Blue
10,60,230,Blue
10,60,240,Blue
10,60,250,Blue
10,70,0,Black
10,70,10,Black
10,70,20,Black
10,70,30,Black
10,70,40,Black
10,70,50,Black
10,70,60,Black
10,70,70,Black
10,70,80,Black
10,70,90,Black
10,70,100,Black
10,70,110,Black
10,70,120,Purple
10,70,130,Purple
10,70,140,Blue
10,70,150,Blue
10,70,160,Blue
10,70,170,Blue
10,70,180,Blue
10,70,190,Blue
10,70,200,Blue
10,70,210,Blue
10,70,220,Blue
10,70,230,Blue
10,70,240,Blue
10,70,250,Blue
10,80,0,Black
10,80,10,Black
10,80,20,Black
10,80,30,Black
10,80,40,Black
10,80,50,Black
10,80,60,Black
10,80,70,Black
10,80,80,Black
10,80,90,Black
10,80,100,Black
10,80,110,Black
10,80,120,Purple
10,80,130,Purple
10,80,140,Blue
10,80,150,Blue
10,80,160,Blue
10,80,170,Blue
10,80,180,Blue
10,80,190,Blue
10,80,200,Blue
10,80,210,Blue
10,80,220,Blue
10,80,230,Blue
10,80,240,Blue
10,80,250,Blue
10,90,0,Black
10,90,10,Black
10,90,20,Black
10,90,30,Black
10,90,40,Black
10,90,50,Black
10,90,60,Black
10,90,70,Black
10,90,80,Black
10,90,90,Black
10,90,100,Black
10,90,110,Black
10,90,120,Purple
10,90,130,Purple
10,90,140,Blue
10,90,150,Blue
10,90,160,Blue
10,90,170,Blue
10,90,180,Blue
10,90,190,Blue
10,90,200,Blue
10,90,210,Blue
10,90,220,Blue
10,90,230,Blue
10,90,240,Blue
10,90,250,Blue
10,100,0,Black
10,100,10,Black
10,100,20,Black
10,100,30,Black
10,100,40,Black
10,100,50,Black
10,100,60,Black
10,100,70,Black
10,100,80,Black
10,100,90,Black
10,100,100,Black
10,100,110,Black
10,100,120,Purple
10,100,130,Purple
10,100,140,Blue
10,100,150,Blue
10,100,160,Blue
10,100,170,Blue
10,100,180,Blue
10,100,190,Blue
10,100,200,Blue
10,100,210,Blue
10,100,220,Blue
10,100,230,Blue
10,100,240,Blue
10,100,250,Blue
10,110,0,Black
10,110,10,Black
10,110,20,Black
10,110,30,Black
10,110,40,Black
10,110,50,Black
10,110,60,Black
10,110,70,Black
10,110,80,Black
10,110,90,Black
10,110,100,Black
10,110,110,Black
10,110,120,Purple
10,110,130,Purple
10,110,140,Blue
10,110,150,Blue
10,110,160,Blue
10,110,170,Blue
10,110,180,Blue
10,110,190,Blue
10,110,200,Blue
10,110,210,Blue
10,110,220,Blue
10,110,230,Blue
10,110,240,Blue
10,110,250,Blue
10,120,0,Black
10,120,10,Black
10,120,20,Black
10,120,30,Black
10,120,40,Black
10,120,50,Black
10,120,60,Black
10,120,70,Black
10,120,80,Black
10,120,90,Black
10,120,100,Black
10,120,110,Black
10,120,120,Purple
10,120,130,Purple
10,120,140,Blue
10,120,150,Blue
10,120,160,Blue
10,120,170,Blue
10,120,180,Blue
10,120,190,Blue
10,120,200,Blue
10,120,210,Blue
10,120,220,Blue
10,120,230,Blue
10,120,240,Blue
10,120,250,Blue
10,130,0,Green
10,130,10,Green
10,130,20,Green
10,130,30,Green
10,130,40,Green
10,130,50,Green
10,130,60,Green
10,130,70,Green
10,130,80,Green
10,130,90,Green
10,130,100,Green
10,130,110,Green
10,130,120,Green
10,130,130,Purple
10,130,140,Blue
10,130,150,Blue
10,130,160,Blue
10,130,170,Blue
10,130,180,Blue
10,130,190,Blue
10,130,200,Blue
10,130,210,Blue
10,130,220,Blue
10,130,230,Blue
10,130,240,Blue
10,130,250,Blue
10,140,0,Green
10,140,10,Green
10,140,20,Green
10,140,30,Green
10,140,40,Green
10,140,50,Green
10,140,60,Green
10,140,70,Green
10,140,80,Green
10,140,90,Green
10,140,100,Green
10,140,110,Green
10,140,120,Green
10,140,130,Green
10,140,140,Blue
10,140,150,Blue
10,140,160,Blue
10,140,170,Blue
10,140,180,Blue
10,140,190,Blue
10,140,200,Blue
10,140,210,Blue
10,140,220,Blue
10,140,230,Blue
10,140,240,Blue
10,140,250,Blue
10,150,0,Green
10,150,10,Green
10,150,20,Green
10,150,30,Green
10,150,40,Green
10,150,50,Green
10,150,60,Green
10,150,70,Green
10,150,80,Green
10,150,90,Green
10,150,100,Green
10,150,110,Green
10,150,120,Green
10,150,130,Green
10,150,140,Green
10,150,150,Blue
10,150,160,Blue
10,150,170,Blue
10,150,180,Blue
10,150,190,Blue
10,150,200,Blue
10,150,210,Blue
10,150,220,Blue
10,150,230,Blue
10,150,240,Blue
10,150,250,Blue
10,160,0,Green
10,160,10,Green
10,160,20,Green
10,160,30,Green
10,160,40,Green
10,160,50,Green
10,160,60,Green
10,160,70,Green
10,160,80,Green
10,160,90,Green
10,160,100,Green
10,160,110,Green
10,160,120,Green
10,160,130,Green
10,160,140,Green
10,160,150,Green
10,160,160,Blue
10,160,170,Blue
10,160,180,Blue
10,160,190,Blue
10,160,200,Blue
10,160,210,Blue
10,160,220,Blue
10,160,230,Blue
10,160,240,Blue
10,160,250,Blue
10,170,0,Green
10,170,10,Green
10,170,20,Green
10,170,30,Green
10,170,40,Green
10,170,50,Green
10,170,60,Green
10,170,70,Green
10,170,80,Green
10,170,90,Green
10,170,100,Green
10,170,110,Green
10,170,120,Green
10,170,130,Green
10,170,140,Green
10,170,150,Green
10,170,160,Green
10,170,170,Blue
10,170,180,Blue
10,170,190,Blue
10,170,200,Blue
10,170,210,Blue
10,170,220,Blue
10,170,230,Blue
10,170,240,Blue
10,170,250,Blue
10,180,0,Green
10,180,10,Green
10,180,20,Green
10,180,30,Green
10,180,40,Green
10,180,50,Green
10,180,60,Green
10,180,70,Green
10,180,80,Green
10,180,90,Green
10,180,100,Green
10,180,110,Green
10,180,120,Green
10,180,130,Green
10,180,140,Green
10,180,150,Green
10,180,160,Green
10,180,170,Green
10,180,180,Blue
10,180,190,Blue
10,180,200,Blue
10,180,210,Blue
10,180,220,Blue
10,180,230,Blue
10,180,240,Blue
10,180,250,Blue
10,190,0,Green
10,190,10,Green
10,190,20,Green
10,190,30,Green
10,190,40,Green
10,190,50,Green
10,190,60,Green
10,190,70,Green
10,190,80,Green
10,190,90,Green
10,190,100,Green
10,190,110,Green
10,190,120,Green
10,190,130,Green
10,190,140,Green
10,190,150,Green
10,190,160,Green
10,190,170,Green
10,190,180,Green
10,190,190,Blue
10,190,200,Blue
10,190,210,Blue
10,190,220,Blue
10,190,230,Blue
10,190,240,Blue
10,190,250,Blue
10,200,0,Green
10,200,10,Green
10,200,20,Green
10,200,30,Green
10,200,40,Green
10,200,50,Green
10,200,60,Green
10,200,70,Green
10,200,80,Green
10,200,90,Green
10,200,100,Green
10,200,110,Green
10,200,120,Green
10,200,130,Green
10,200,140,Green
10,200,150,Green
10,200,160,Green
10,200,170,Green
10,200,180,Green
10,200,190,Green
10,200,200,Blue
10,200,210,Blue
10,200,220,Blue
10,200,230,Blue
10,200,240,Blue
10,200,250,Blue
10,210,0,Green
10,210,10,Green
10,210,20,Green
10,210,30,Green
10,210,40,Green
10,210,50,Green
10,210,60,Green
10,210,70,Green
10,210,80,Green
10,210,90,Green
10,210,100,Green
10,210,110,Green
10,210,120,Green
10,210,130,Green
10,210,140,Green
10,210,150,Green
10,210,160,Green
10,210,170,Green
10,210,180,Green
10,210,190,Green
10,210,200,Green
10,210,210,Blue
10,210,220,Blue
10,210,230,Blue
10,210,240,Blue
10,210,250,Blue
10,220,0,Green
10,220,10,Green
10,220,20,Green
10,220,30,Green
10,220,40,Green
10,220,50,Green
10,220,60,Green
10,220,70,Green
10,220,80,Green
10,220,90,Green
10,220,100,Green
10,220,110,Green
10,220,120,Green
10,220,130,Green
10,220,140,Green
10,220,150,Green
10,220,160,Green
10,220,170,Green
10,220,180,Green
10,220,190,Green
10,220,200,Green
10,220,210,Green
10,220,220,Blue
10,220,230,Blue
10,220,240,Blue
10,220,250,Blue
10,230,0,Green
10,230,10,Green
10,230,20,Green
10,230,30,Green
10,230,40,Green
10,230,50,Green
10,230,60,Green
10,230,70,Green
10,230,80,Green
10,230,90,Green
10,230,100,Green
10,230,110,Green
10,230,120,Green
10,230,130,Green
10,230,140,Green
10,230,150,Green
10,230,160,Green
10,230,170,Green
10,230,180,Green
10,230,190,Green
10,230,200,Green
10,230,210,Green
10,230,220,Green
10,230,230,Blue
10,230,240,Blue
10,230,250,Blue
10,240,0,Green
10,240,10,Green
10,240,20,Green
10,240,30,Green
10,240,40,Green
10,240,50,Green
10,240,60,Green
10,240,70,Green
10,240,80,Green
10,240,90,Green
10,240,100,Green
10,240,110,Green
10,240,120,Green
10,240,130,Green
10,240,140,Green
10,240,150,Green
10,240,160,Green
10,240,170,Green
10,240,180,Green
10,240,190,Green
10,240,200,Green
10,240,210,Green
10,240,220,Green
10,240,230,Green
10,240,240,Blue
10,240,250,Blue
10,250,0,Green
10,250,10,Green
10,250,20,Green
10,250,30,Green
10,250,40,Green
10,250,50,Green
10,250,60,Green
10,250,70,Green
10,250,80,Green
10,250,90,Green
10,250,100,Green
10,250,110,Green
10,250,120,Green
10,250,130,Green
10,250,140,Green
10,250,150,Green
10,250,160,Green
10,250,170,Green
10,250,180,Green
10,250,190,Green
10,250,200,Green
10,250,210,Green
10,250,220,Green
10,250,230,Green
10,250,240,Green
10,250,250,White
20,0,0,Black
20,0,10,Black
20,0,20,Black
20,0,30,Black
20,0,40,Black
20,0,50,Black
20,0,60,Black
20,0,70,Black
20,0,80,Black
20,0,90,Black
20,0,100,Black
20,0,110,Purple
20,0,120,Purple
20,0,130,Purple
20,0,140,Purple
20,0,150,Blue
20,0,160,Blue
20,0,170,Blue
20,0,180,Blue
20,0,190,Blue
20,0,200,Blue
20,0,210,Blue
20,0,220,Blue
20,0,230,Blue
20,0,240,Blue
20,0,250,Blue
20,10,0,Black
20,10,10,Black
20,10,20,Black
20,10,30,Black
20,10,40,Black
20,10,50,Black
20,10,60,Black
20,10,70,Black
20,10,80,Black
20,10,90,Black
20,10,100,Black
20,10,110,Purple
20,10,120,Purple
20,10,130,Purple
20,10,140,Purple
20,10,150,Blue
20,10,160,Blue
20,10,170,Blue
20,10,180,Blue
20,10,190,Blue
20,10,200,Blue
20,10,210,Blue
20,10,220,Blue
20,10,230,Blue
20,10,240,Blue
20,10,250,Blue
20,20,0,Black
20,20,10,Black
20,20,20,Black
20,20,30,Black
20,20,40,Black
20,20,50,Black
20,20,60,Black
20,20,70,Black
20,20,80,Black
20,20,90,Black
20,20,100,Black
20,20,110,Purple
20,20,120,Purple
20,20,130,Purple
20,20,140,Purple
20,20,150,Blue
20,20,160,Blue
20,20,170,Blue
20,20,180,Blue
20,20,190,Blue
20,20,200,Blue
20,20,210,Blue
20,20,220,Blue
20,20,230,Blue
20,20,240,Blue
20,20,250,Blue
20,30,0,Black
20,30,10,Black
20,30,20,Black
20,30,30,Black
20,30,40,Black
20,30,50,Black
20,30,60,Black
20,30,70,Black
20,30,80,Black
20,30,90,Black
20,30,100,Black
20,30,110,Purple
20,30,120,Purple
20,30,130,Purple
20,30,140,Purple
20,30,150,Blue
20,30,160,Blue
20,30,170,Blue
20,30,180,Blue
20,30,190,Blue
20,30,200,Blue
20,30,210,Blue
20,30,220,Blue
20,30,230,Blue
20,30,240,Blue
20,30,250,Blue
20,40,0,Black
20,40,10,Black
20,40,20,Black
20,40,30,Black
20,40,40,Black
20,40,50,Black
20,40,60,Black
20,40,70,Black
20,40,80,Black
20,40,90,Black
20,40,100,Black
20,40,110,Purple
20,40,120,Purple
20,40,130,Purple
20,40,140,Purple
20,40,150,Blue
20,40,160,Blue
20,40,170,Blue
20,40,180,Blue
20,40,190,Blue
20,40,200,Blue
20,40,210,Blue
20,40,220,Blue
20,40,230,Blue
20,40,240,Blue
20,40,250,Blue
20,50,0,Black
20,50,10,Black
